question,a,b,c,d,answer,category,times_missed
What is the LEGB rule in Python?,A debugging technique,A sorting algorithm,"The scope resolution order: Local, Enclosing, Global, Built-in",A naming convention,c,functions,0
What is a closure?,A class with no methods,A decorator with no arguments,A function that remembers variables from its enclosing scope even after that scope has closed,A function that raises an exception,c,functions,0
What is a default parameter value?,A parameter that must be provided,A parameter that raises an error if not provided,A value assigned to a parameter that is used if no argument is given,A global variable,c,functions,0
What does functools.reduce() do?,Reduces memory usage,Removes elements from a list,"Applies a function cumulatively to items of an iterable, reducing it to a single value",Filters and maps at the same time,c,functions,0
What does *args allow in a function?,Any number of positional arguments,Only string arguments,Exactly two positional arguments,Any number of keyword arguments,a,functions,0
What does **kwargs allow in a function?,Exactly one keyword argument,Any number of keyword arguments,Only integer keyword arguments,Any number of positional arguments,b,functions,0
What is the difference between parameters and arguments?,They are the same thing,Parameters are in the function call; arguments are in the definition,Parameters are in the function definition; arguments are the values passed in the call,Parameters are for classes; arguments are for functions,c,functions,0
What does the return statement do?,Prints a value,Exits the program,Ends a loop,Sends a value back from a function to the caller,d,functions,0
What is a lambda function?,A class method,A function with no return value,A recursive function,An anonymous function defined in a single line,d,functions,0
What is a recursive function?,A function that takes *args,A function that calls itself,A function with a decorator,A function that returns a list,b,functions,0
What does typing.List[int] indicate?,A list that only contains integers at runtime,A type hint indicating a list of integers,A frozen list,An integer stored in a list,b,functions,0
What is a higher-order function?,A function defined inside a class,A function that takes or returns other functions,A function with more than 3 parameters,A function that calls super(),b,functions,0
What does a decorator do?,Renames a function,Deletes a function after use,Wraps a function to add behavior before or after it runs,Adds color to terminal output,c,functions,0
What is the @ symbol used for in Python?,String formatting,Modulo operation,Matrix multiplication or applying a decorator,Bitwise AND,c,functions,0
"What does typing.Tuple[int, str, float] indicate?",A named tuple,A type hint for a tuple with exactly those three types in that order,A tuple of any length,A tuple that can hold any type,b,functions,0
What does typing.Union do?,Creates a union of two sets,"Indicates a value can be one of several types like Union[int, str]",Merges two classes,Combines two functions,b,functions,0
What is the difference between global and nonlocal?,They are identical,global accesses module-level variables; nonlocal accesses enclosing function variables,nonlocal creates global variables,global works inside classes; nonlocal works inside functions,b,functions,0
What is a first-class function?,The first function defined in a module,"A function that can be passed around as a value — assigned to variables, passed as arguments",A function that runs first,A function with no parameters,b,functions,0
What does the 'global' keyword do?,Deletes a variable,Converts a local variable to a constant,Allows a function to access and modify a variable from the global scope,Creates a new global variable,c,functions,0
What does the * separator do in a function signature?,Makes all following parameters keyword-only,Makes all parameters optional,Collects extra positional arguments,Unpacks a list,a,functions,0
What does def indicate in Python?,A variable declaration,A loop definition,A function definition,A class definition,c,functions,0
What is a docstring?,A string literal used to document a function or class,A multiline variable,A comment inside a loop,A type of string formatting,a,functions,0
